"TIME";"FARE_ID"
5;5
9;77
11;61
12;5
15;9
17;43
19;93
22;1
24;111
25;93
26;123
28;63
30;131
31;111
33;71
38;29
40;99
42;125
44;109
48;95
49;11
50;9
52;131
54;41
57;93
61;97
62;43
64;33
65;53
66;15
69;33
70;53
72;41
75;67
80;33
82;11
85;53
93;75
96;77
97;43
98;51
107;5
111;139
113;29
121;47
124;3
125;85
128;143
131;85
137;27
145;55
146;1
147;141
148;21
150;127
151;133
152;27
159;123
165;1
168;47
172;27
173;51
178;5
179;125
186;69
187;87
190;111
191;127
194;21
202;69
204;21
205;141
209;51
211;43
212;41
214;33
218;123
220;111
221;123
222;139
225;15
231;127
232;47
240;97
241;85
242;133
243;97
245;53
246;5
247;87
249;9
250;57
251;5
254;5
256;29
258;133
261;5
264;101
266;85
268;97
270;25
271;91
272;55
276;3
281;5
282;91
284;77
285;9
287;21
289;43
290;87
291;21
292;87
293;105
295;21
298;9
301;125
302;21
305;27
306;51
310;49
311;141
314;55
315;77
317;51
322;25
324;97
325;37
327;9
329;89
331;91
340;13
341;85
343;47
350;113
351;51
353;89
355;61
357;91
361;23
362;39
363;29
364;107
367;15
368;71
372;14
373;25
374;10
375;79
379;61
381;87
382;64
383;97
386;29
388;24
392;93
395;77
396;85
397;47
398;2
401;124
402;52
403;101
404;41
405;56
407;51
408;137
409;61
410;6
412;10
416;57
419;3
423;48
426;62
428;86
429;34
431;78
432;41
436;143
440;142
446;30
447;141
450;123
452;6
453;35
460;50
461;22
466;76
467;108
473;122
479;33
483;13
484;76
487;124
488;47
490;14
493;106
494;142
497;22
498;11
500;44
502;76
504;61
505;22
506;95
508;90
510;85
511;102
514;140
516;38
517;86
518;62
521;44
522;22
523;48
525;128
527;44
536;36
537;22
542;76
543;112
544;88
547;68
548;76
549;78
551;28
552;47
553;76
555;10
556;86
559;88
561;44
563;50
569;128
570;120
572;120
579;98
584;46
587;98
588;122
590;132
595;46
596;72
597;94
