"TIME";"FARE_ID"
2;5
3;117
8;119
9;23
11;33
13;21
17;141
18;71
19;11
24;49
27;139
30;1
33;95
35;51
43;9
47;85
48;127
50;5
57;117
61;9
64;139
66;27
73;77
74;135
75;141
76;111
78;75
79;9
83;139
84;115
91;21
94;43
97;69
103;33
109;141
111;87
116;139
119;29
120;143
127;51
130;115
133;21
139;109
143;71
144;75
149;9
150;85
153;109
154;33
161;3
165;109
167;29
168;29
170;37
172;27
174;51
176;61
177;33
182;85
190;9
191;15
192;33
193;123
195;105
198;133
199;139
201;35
202;51
203;87
204;21
205;141
207;127
208;127
210;125
211;21
212;55
214;77
217;21
222;11
225;131
227;123
228;11
229;5
230;61
234;67
237;95
244;123
245;111
246;43
247;105
249;111
250;5
252;55
253;125
254;41
258;29
263;41
265;109
266;141
269;77
270;27
272;123
275;123
278;87
280;119
281;27
286;141
291;55
294;119
295;15
297;89
298;131
300;131
302;47
304;61
306;37
309;13
314;33
317;77
318;27
320;75
321;27
323;115
324;127
325;9
326;93
327;71
328;67
333;37
334;23
335;5
336;15
341;97
342;1
344;111
345;143
346;61
350;115
351;144
352;143
355;3
359;133
364;143
365;84
367;23
368;43
370;93
372;85
374;97
378;77
381;53
385;50
386;86
391;84
398;28
399;28
400;105
403;28
404;67
406;35
415;42
424;76
427;76
430;21
431;141
433;101
437;44
438;117
439;43
441;34
442;141
445;34
446;139
450;86
451;59
454;15
456;87
458;41
461;109
463;90
464;2
467;101
468;9
469;46
470;94
472;102
474;144
475;46
481;55
483;42
490;122
494;124
501;4
503;22
506;125
509;61
512;44
516;33
517;72
518;14
520;110
524;124
529;42
530;102
532;86
533;88
534;86
537;124
539;109
543;10
545;22
547;132
548;142
549;104
552;56
555;124
557;128
563;124
571;110
574;70
575;144
578;134
582;21
583;124
584;134
586;70
587;102
589;112
598;34
599;16
600;142
