"TIME";"FARE_ID"
1;93
4;109
5;45
11;123
16;85
18;33
19;25
21;35
22;133
23;97
25;27
31;121
33;1
34;3
36;55
37;37
39;67
40;143
41;69
44;89
45;41
46;49
47;141
49;123
50;25
51;11
52;87
55;141
58;69
59;47
64;89
71;109
72;21
74;143
75;141
84;41
85;13
88;5
92;5
94;115
101;125
102;123
103;1
105;75
108;93
109;59
110;115
112;85
113;127
117;117
121;105
123;41
127;43
128;25
129;77
130;13
135;117
136;27
142;53
143;41
150;55
152;61
153;143
154;101
155;127
158;73
159;89
163;41
168;15
170;47
171;139
173;3
176;71
180;109
181;143
182;121
183;91
188;55
190;21
191;33
192;27
195;87
199;9
204;5
207;15
209;15
217;141
220;125
222;47
223;89
225;95
230;131
231;93
233;1
235;69
239;143
240;53
244;61
253;87
255;37
257;141
259;109
263;35
264;69
267;13
271;35
274;69
275;141
276;141
277;71
278;133
283;125
287;15
288;109
289;5
292;55
293;97
298;111
299;77
301;85
305;75
306;23
308;27
310;125
315;121
316;61
321;33
322;19
327;9
331;21
332;9
336;1
337;101
338;69
341;115
342;133
344;19
351;83
352;69
355;95
356;27
357;123
359;51
361;25
362;55
365;143
374;71
375;69
378;33
380;5
381;39
382;47
386;45
388;113
390;41
391;75
396;111
397;51
399;86
401;28
402;87
403;131
408;21
409;51
416;42
419;2
421;62
425;15
426;144
427;6
430;25
432;39
433;49
453;142
456;78
462;26
465;144
469;110
473;143
474;36
475;126
476;133
479;14
483;61
484;94
485;122
488;56
491;126
492;3
494;34
497;96
498;56
500;122
504;122
506;142
507;144
508;45
513;40
517;51
523;140
524;109
525;28
526;64
529;98
531;134
532;128
533;40
534;126
535;118
537;46
538;4
540;112
542;144
544;136
545;10
553;15
559;142
561;110
563;14
564;82
567;48
571;122
574;134
576;16
577;58
578;28
582;70
591;108
595;70
599;62
