"TIME";"FARE_ID"
5;127
6;101
8;25
13;75
14;143
19;45
23;69
24;119
25;51
28;45
37;23
43;133
44;53
45;35
49;75
50;143
51;49
55;33
56;123
58;27
60;141
61;133
62;115
65;21
68;91
69;61
71;75
73;93
78;51
81;43
85;53
88;1
93;1
94;61
96;131
97;143
98;77
101;51
102;141
107;123
111;1
113;95
117;77
118;123
119;115
120;31
121;103
124;101
128;85
129;119
130;109
132;27
133;5
135;29
136;59
137;141
138;53
139;93
140;113
143;5
145;89
147;43
148;89
150;5
152;55
153;101
154;41
158;27
160;123
164;111
165;45
169;5
170;39
175;13
179;105
182;37
184;29
186;109
187;91
189;125
191;83
193;77
194;91
197;143
198;119
199;9
201;61
202;125
209;75
210;83
211;5
212;77
213;51
214;71
215;131
216;61
219;127
221;141
222;77
225;11
227;85
228;51
229;21
231;101
237;131
239;93
243;121
245;33
249;57
251;27
253;125
254;137
259;109
260;71
264;9
269;13
270;125
276;35
277;35
278;61
281;97
282;75
284;133
285;27
287;15
289;139
295;59
297;57
298;79
299;45
302;125
303;1
305;27
310;15
313;111
314;141
315;13
316;49
317;77
321;55
322;2
326;41
327;61
329;41
332;27
334;39
335;19
337;111
338;55
341;5
342;71
343;9
345;85
346;39
348;13
353;55
358;109
359;13
362;91
364;33
366;39
367;61
368;101
372;11
373;119
375;101
376;51
377;2
378;86
379;41
380;23
391;67
392;22
393;137
394;123
395;22
402;57
406;89
407;85
410;91
411;91
413;10
414;13
415;67
417;120
419;144
421;103
422;29
428;76
431;61
435;26
436;10
437;142
438;11
442;69
443;133
445;47
446;54
448;64
449;59
452;41
456;27
463;102
464;115
468;10
476;68
477;78
480;122
481;128
483;38
484;39
485;54
488;102
490;28
492;86
495;40
500;58
501;30
502;24
506;6
512;88
516;88
517;38
520;131
521;22
523;62
525;134
526;70
528;24
530;34
531;102
534;30
535;106
538;70
539;134
540;1
543;117
544;21
548;76
549;42
550;90
554;38
557;12
559;56
560;54
565;70
566;98
567;36
568;118
571;78
573;75
575;60
576;34
585;98
586;88
589;34
591;10
592;22
593;110
594;88
597;22
