"TIME";"FARE_ID"
1;133
3;75
5;93
9;71
11;37
12;135
13;33
17;93
18;33
22;55
24;61
25;133
29;143
32;111
40;33
45;15
49;9
50;141
52;25
53;9
54;119
55;5
56;1
57;95
59;127
62;119
63;59
68;81
69;107
70;103
71;125
73;89
74;27
78;67
87;13
88;77
94;51
96;29
97;53
100;97
102;17
107;87
113;71
117;127
120;27
122;47
126;91
129;61
133;43
135;47
136;125
139;125
142;3
144;39
145;75
147;41
149;63
150;9
153;97
165;143
166;89
168;111
171;51
178;29
180;71
184;71
185;133
187;143
189;143
190;125
193;85
195;69
196;57
197;5
201;29
202;123
203;33
204;123
205;9
207;47
209;21
213;69
214;119
220;57
229;115
232;105
233;93
234;21
235;29
242;29
243;71
248;21
249;5
254;9
257;105
260;127
261;1
263;47
264;33
265;105
270;57
273;57
274;13
275;15
277;63
279;95
280;49
281;33
288;15
292;55
295;119
298;33
299;23
304;15
307;141
309;37
313;139
315;45
320;53
322;125
323;85
324;141
325;111
326;27
327;85
328;27
329;137
330;33
331;25
332;101
338;21
340;105
343;13
344;45
351;135
359;5
365;46
367;144
368;55
370;113
371;69
374;9
376;39
383;76
384;112
385;75
386;94
387;34
389;87
397;97
398;55
399;4
402;116
403;61
410;116
411;34
416;16
417;73
418;9
420;93
425;144
426;144
436;72
438;13
440;85
442;122
443;11
446;125
449;109
456;101
460;98
461;41
463;76
464;1
465;124
467;36
468;59
473;106
476;16
478;133
480;95
481;47
483;2
489;52
493;112
495;123
496;54
499;140
503;120
505;60
507;96
510;98
511;125
513;128
514;61
517;28
524;40
532;12
534;2
535;138
542;28
543;44
544;52
545;90
548;22
549;28
553;26
557;34
564;54
565;96
569;4
574;14
576;22
578;20
581;100
582;88
584;126
586;102
591;126
593;110
595;4
598;46
599;94
