"TIME";"FARE_ID"
7;95
11;111
12;77
16;27
19;139
20;85
28;135
32;53
35;75
39;33
43;131
44;5
45;127
48;55
49;87
55;135
56;13
57;87
60;143
62;69
64;91
65;125
66;55
67;123
70;43
75;109
79;133
80;11
86;55
93;131
100;71
102;5
106;133
111;109
112;93
118;91
121;123
125;101
129;55
130;53
131;87
132;55
133;47
134;143
135;33
138;23
140;43
141;97
144;101
148;93
154;95
158;111
159;119
163;51
165;21
166;97
169;133
170;53
172;91
173;5
175;141
177;69
179;23
183;5
184;5
189;87
196;25
210;35
211;41
214;21
216;143
217;127
220;61
223;25
227;5
228;125
229;69
232;77
234;143
236;125
242;41
244;1
253;39
254;143
255;25
263;133
264;29
271;141
275;77
276;143
280;41
281;15
285;111
286;9
289;93
291;109
292;97
294;27
302;85
305;3
307;37
308;109
309;51
312;101
316;141
317;5
319;33
320;109
323;109
329;143
330;77
332;1
333;26
334;21
336;101
338;93
340;89
341;141
342;144
347;55
348;141
349;89
352;75
353;133
356;59
357;15
358;24
359;97
365;2
366;33
368;9
370;11
371;33
374;143
377;118
378;38
380;101
381;97
382;27
384;28
385;21
389;29
390;136
391;75
392;41
393;5
395;38
396;34
400;91
403;71
405;77
406;22
408;13
410;24
412;27
414;37
416;121
417;135
421;44
423;124
424;114
425;49
426;28
434;92
437;33
438;34
439;94
442;112
443;34
451;91
452;53
453;144
459;117
461;117
462;96
464;68
465;37
466;22
468;111
470;21
471;133
472;14
473;26
477;109
479;16
486;15
489;122
490;62
492;36
497;92
498;98
502;26
504;110
506;110
509;86
510;119
511;120
520;30
523;76
524;26
525;48
526;48
528;94
531;76
532;22
533;70
534;111
537;24
538;78
540;48
543;76
544;52
546;110
547;102
548;72
550;48
552;76
554;85
556;44
557;136
558;126
559;62
562;30
564;119
569;102
570;102
585;36
588;128
592;36
593;144
596;88
598;86
599;116
