"TIME";"FARE_ID"
1;127
2;1
3;33
6;15
8;77
10;15
11;141
15;69
16;35
17;1
18;13
20;61
22;33
23;33
24;87
26;93
27;3
29;125
35;141
36;137
41;97
43;141
45;87
47;41
48;61
52;41
53;141
57;131
58;93
59;127
66;63
67;47
69;77
71;71
73;57
74;109
77;55
80;93
81;109
83;13
84;37
87;89
89;91
90;79
93;35
99;127
102;121
103;9
104;119
109;55
112;23
113;67
116;101
118;1
121;39
123;21
124;87
125;143
129;123
130;95
131;85
132;53
133;39
134;39
136;1
139;121
144;109
145;101
151;89
153;95
154;41
155;71
157;89
159;87
160;111
161;93
163;101
165;111
166;127
167;33
168;85
170;41
175;141
176;3
178;93
183;83
184;79
191;9
192;127
197;43
198;23
204;27
208;47
210;119
211;71
213;19
216;59
220;95
222;49
223;39
224;45
225;1
226;115
227;69
230;25
232;123
235;41
239;5
241;77
249;111
250;21
251;55
257;25
258;69
259;47
261;45
262;119
266;125
270;93
272;49
273;33
274;39
277;117
278;133
280;109
281;33
286;23
287;107
288;77
295;111
298;55
304;87
306;67
308;83
316;105
318;143
319;117
321;29
324;67
326;115
330;137
331;139
332;21
333;115
334;1
340;13
343;28
345;125
347;13
350;23
351;15
352;97
357;51
359;87
360;144
361;76
362;53
365;56
368;23
373;71
374;61
375;123
379;121
383;12
386;49
387;105
389;24
390;27
394;75
397;76
400;91
402;34
409;133
410;31
411;39
412;41
413;24
415;111
418;102
422;142
423;97
426;141
427;119
428;75
429;78
432;47
433;13
434;128
435;36
437;10
439;111
440;78
442;41
443;5
445;48
451;21
453;24
455;47
456;75
460;28
461;42
464;126
465;10
466;75
473;62
481;45
486;86
487;95
488;22
490;67
493;120
494;123
496;30
499;111
501;122
503;26
506;34
514;28
519;87
521;6
522;14
523;142
525;76
528;10
529;106
530;108
531;54
532;97
534;70
536;112
538;44
539;36
542;122
547;106
548;96
552;94
554;132
559;16
566;86
567;48
569;126
571;12
573;110
574;93
577;34
580;26
582;48
588;86
597;36
